period_end,quarter,real_wages,unemployment_u3,cpi,cpi_5yr_avg,cpi_30yr_avg,cpi-cpi5yr,cpi-cpi30yr,mortgage_30yr,mortgage_5yr_avg,mortgage_30yr_avg,Morgage-mortgage5yr,Mortgage-mortgage30yr,consumer_sentiment
1980-03-31,1980Q1,69.736,6.3,79.0333,61.84,37.1568,17.1933,41.8765,13.68,9.5199,8.8995,4.1601,4.7805,63.4667
1980-06-30,1980Q2,69.905,7.3333,81.7,63.1633,37.6188,18.5367,44.0812,14.4192,9.7455,9.0323,4.6737,5.3869,54.3667
1980-09-30,1980Q3,69.984,7.6667,83.2333,64.5883,38.1016,18.645,45.1317,12.6431,10.0227,9.1779,2.6204,3.4652,67.7667
1980-12-31,1980Q4,70.191,7.4,85.5667,66.0367,38.5935,19.53,46.9732,14.2262,10.2056,9.2691,4.0206,4.9571,72.0667
1981-03-31,1981Q1,70.001,7.4333,87.9333,67.5517,39.1008,20.3816,48.8325,15.1269,10.4589,9.3962,4.668,5.7307,68.2667
1981-06-30,1981Q2,69.905,7.4,89.7667,69.1533,39.6194,20.6134,50.1473,16.2392,10.7716,9.5395,5.4676,6.6997,73.9333
1981-09-30,1981Q3,70.036,7.4,92.2667,70.8217,40.1512,21.445,52.1155,17.38,11.1447,9.7029,6.2353,7.6771,74.8
1981-12-31,1981Q4,69.974,8.2333,93.7667,72.57,40.704,21.1967,53.0627,17.7357,11.5653,9.8857,6.1704,7.85,65.7
1982-03-31,1982Q1,70.947,8.8333,94.6,74.3517,41.2661,20.2483,53.3339,17.4142,12.0097,10.0682,5.4045,7.346,66.5
1982-06-30,1982Q2,70.748,9.4333,95.9667,76.1217,41.8343,19.845,54.1324,16.7662,12.4458,10.2352,4.3204,6.531,66.2333
1982-09-30,1982Q3,70.627,9.9,97.6333,77.9083,42.4133,19.725,55.22,16.2215,12.8437,10.3803,3.3778,5.8412,66.7
1982-12-31,1982Q4,70.885,10.6667,97.9333,79.7367,43.0047,18.1966,54.9286,14.0329,13.2085,10.5073,0.824399999999999,3.5256,72.4667
